Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
HDFCBANK,EQ,2-Jun-23,"1,604.00","1,612.45","1,614.80","1,601.00","1,605.50","1,606.50","1,607.62","8,929,855","14,355,801,663.75","316,938","3,288,557",36.83
HDFCBANK,EQ,5-Jun-23,"1,606.50","1,614.50","1,616.50","1,602.45","1,604.05","1,604.40","1,610.46","9,348,621","15,055,621,088.80","153,663","2,890,771",30.92
HDFCBANK,EQ,6-Jun-23,"1,604.40","1,607.65","1,609.85","1,592.25","1,605.00","1,599.40","1,598.09","16,091,426","25,715,616,381.45","233,706","5,098,265",31.68
HDFCBANK,EQ,7-Jun-23,"1,599.40","1,603.45","1,612.55","1,596.00","1,611.50","1,607.70","1,602.11","12,474,513","19,985,540,209.25","176,230","3,934,644",31.54
HDFCBANK,EQ,8-Jun-23,"1,607.70","1,603.25","1,626.00","1,603.25","1,608.35","1,608.70","1,617.05","18,697,761","30,235,256,021.30","268,888","5,330,369",28.51
HDFCBANK,EQ,9-Jun-23,"1,608.70","1,615.90","1,618.50","1,607.00","1,609.50","1,610.60","1,613.79","9,106,289","14,695,639,541.25","185,235","2,948,383",32.38
HDFCBANK,EQ,12-Jun-23,"1,610.60","1,612.55","1,615.80","1,599.45","1,600.90","1,600.80","1,604.34","6,704,146","10,755,748,258.60","156,138","3,188,691",47.56
HDFCBANK,EQ,13-Jun-23,"1,600.80","1,590.10","1,609.00","1,590.10","1,607.95","1,603.50","1,602.57","13,963,054","22,376,805,987.05","184,386","6,179,907",44.26
HDFCBANK,EQ,14-Jun-23,"1,603.50","1,610.45","1,612.00","1,600.20","1,601.75","1,601.75","1,606.76","10,056,984","16,159,116,681.25","174,004","4,418,111",43.93
HDFCBANK,EQ,15-Jun-23,"1,601.75","1,604.00","1,605.95","1,579.00","1,580.55","1,582.05","1,590.41","17,688,738","28,132,406,376.20","271,848","5,965,872",33.73
HDFCBANK,EQ,16-Jun-23,"1,582.05","1,587.15","1,609.20","1,584.00","1,602.50","1,602.75","1,598.25","7,889,636","12,609,594,950.00","181,546","4,248,458",53.85
HDFCBANK,EQ,19-Jun-23,"1,602.75","1,611.00","1,614.25","1,598.35","1,604.90","1,604.15","1,606.00","12,414,573","19,937,759,557.10","162,051","4,383,742",35.31
HDFCBANK,EQ,20-Jun-23,"1,604.15","1,604.15","1,611.00","1,590.65","1,609.40","1,607.50","1,599.68","10,002,813","16,001,291,895.20","287,119","4,273,291",42.72
HDFCBANK,EQ,21-Jun-23,"1,607.50","1,616.00","1,637.25","1,611.00","1,635.55","1,635.60","1,628.22","12,154,473","19,790,144,100.50","276,058","5,696,387",46.87
HDFCBANK,EQ,22-Jun-23,"1,635.60","1,640.00","1,657.55","1,639.05","1,644.80","1,643.60","1,646.70","28,298,070","46,598,524,688.10","367,511","10,015,810",35.39
HDFCBANK,EQ,23-Jun-23,"1,643.60","1,637.55","1,659.90","1,634.05","1,642.90","1,643.50","1,649.49","10,669,609","17,599,409,604.40","248,242","4,758,035",44.59
HDFCBANK,EQ,26-Jun-23,"1,643.50","1,645.00","1,650.75","1,628.70","1,635.70","1,635.55","1,637.33","8,065,157","13,205,320,442.40","199,872","4,328,332",53.67
